state,date,tot_cases,new_cases,tot_deaths,new_deaths,1st_dose,2nd_dose,discharge_variable,patient_variable,discharge_n,mortality_rate,LOS
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Inpatient Admissions Through the ED*,Age: 0-17 years,94,0.0,5.8
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Inpatient Admissions Through the ED*,Age: 18-44 years,546,0.0,5.2
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Inpatient Admissions Through the ED*,Age: 45-64 years,729,5.2,7.4
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Inpatient Admissions Through the ED*,Age: 65-79 years,656,9.6,8.2
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Inpatient Admissions Through the ED*,Age: 80+ years,333,13.2,6.9
Alaska,Dec-2020,203989,16510,852,85,35100,35100,All Inpatient Stays,Age: 0-17 years,828,0.0,4.1
Alaska,Dec-2020,203989,16510,852,85,35100,35100,All Inpatient Stays,Age: 18-44 years,"1,374",0.0,3.8
Alaska,Dec-2020,203989,16510,852,85,35100,35100,All Inpatient Stays,Age: 45-64 years,"1,041",4.0,6.4
Alaska,Dec-2020,203989,16510,852,85,35100,35100,All Inpatient Stays,Age: 65-79 years,980,7.8,7.4
Alaska,Dec-2020,203989,16510,852,85,35100,35100,All Inpatient Stays,Age: 80+ years,441,11.6,6.7
Alaska,Dec-2020,203989,16510,852,85,35100,35100,COVID-19-Related Inpatient Stays,Age: 0-17 years,0,0.0,0.0
Alaska,Dec-2020,203989,16510,852,85,35100,35100,COVID-19-Related Inpatient Stays,Age: 18-44 years,87,0.0,6.8
Alaska,Dec-2020,203989,16510,852,85,35100,35100,COVID-19-Related Inpatient Stays,Age: 45-64 years,149,0.0,8.4
Alaska,Dec-2020,203989,16510,852,85,35100,35100,COVID-19-Related Inpatient Stays,Age: 65-79 years,185,21.6,10.2
Alaska,Dec-2020,203989,16510,852,85,35100,35100,COVID-19-Related Inpatient Stays,Age: 80+ years,90,24.4,8.7
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Elective Inpatient Admissions*,Age: 0-17 years,34,0.0,6.4
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Elective Inpatient Admissions*,Age: 18-44 years,131,0.0,3.5
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Elective Inpatient Admissions*,Age: 45-64 years,244,0.0,3.2
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Elective Inpatient Admissions*,Age: 65-79 years,231,0.0,5.4
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Elective Inpatient Admissions*,Age: 80+ years,80,0.0,4.9
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Influenza-Related Inpatient Stays,Age: 18-44 years,0,0.0,0.0
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Influenza-Related Inpatient Stays,Age: 45-64 years,0,0.0,0.0
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Injury-Related Inpatient Stays,Age: 0-17 years,20,0.0,0.0
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Injury-Related Inpatient Stays,Age: 18-44 years,69,0.0,5.5
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Injury-Related Inpatient Stays,Age: 45-64 years,47,0.0,8.0
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Injury-Related Inpatient Stays,Age: 65-79 years,48,0.0,8.5
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Injury-Related Inpatient Stays,Age: 80+ years,32,0.0,9.4
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Inpatient Stays Related to Mental Health and Substance Use,Age: 0-17 years,18,0.0,0.0
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Inpatient Stays Related to Mental Health and Substance Use,Age: 18-44 years,164,0.0,5.3
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Inpatient Stays Related to Mental Health and Substance Use,Age: 45-64 years,72,0.0,4.7
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Inpatient Stays Related to Mental Health and Substance Use,Age: 65-79 years,0,0.0,0.0
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Inpatient Stays Related to Mental Health and Substance Use,Age: 80+ years,0,0.0,0.0
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Other Medical Inpatient Stays,Age: 0-17 years,83,0.0,5.7
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Other Medical Inpatient Stays,Age: 18-44 years,301,0.0,4.8
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Other Medical Inpatient Stays,Age: 45-64 years,552,6.0,6.6
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Other Medical Inpatient Stays,Age: 65-79 years,623,10.1,7.1
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Other Medical Inpatient Stays,Age: 80+ years,341,13.2,6.2
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Surgical Inpatient Stays,Age: 0-17 years,36,0.0,5.7
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Surgical Inpatient Stays,Age: 18-44 years,170,0.0,4.9
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Surgical Inpatient Stays,Age: 45-64 years,365,0.0,6.1
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Surgical Inpatient Stays,Age: 65-79 years,300,4.3,7.8
Alaska,Dec-2020,203989,16510,852,85,35100,35100,Surgical Inpatient Stays,Age: 80+ years,64,0.0,7.9
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Inpatient Admissions Through the ED*,Age: 0-17 years,"1,241",0.0,3.9
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Inpatient Admissions Through the ED*,Age: 18-44 years,"5,337",1.6,4.5
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Inpatient Admissions Through the ED*,Age: 45-64 years,"8,624",2.7,5.2
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Inpatient Admissions Through the ED*,Age: 65-79 years,"9,773",3.4,5.3
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Inpatient Admissions Through the ED*,Age: 80+ years,"5,560",3.7,4.9
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,All Inpatient Stays,Age: 0-17 years,"7,989",0.4,3.9
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,All Inpatient Stays,Age: 18-44 years,"13,635",0.9,3.9
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,All Inpatient Stays,Age: 45-64 years,"12,330",2.6,5.4
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,All Inpatient Stays,Age: 65-79 years,"14,229",3.4,5.2
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,All Inpatient Stays,Age: 80+ years,"7,032",3.9,4.8
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,COVID-19-Related Inpatient Stays,Age: 0-17 years,46,0.0,7.8
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,COVID-19-Related Inpatient Stays,Age: 18-44 years,356,0.0,7.4
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,COVID-19-Related Inpatient Stays,Age: 45-64 years,547,7.7,9.5
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,COVID-19-Related Inpatient Stays,Age: 65-79 years,401,13.0,9.9
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,COVID-19-Related Inpatient Stays,Age: 80+ years,157,12.7,7.7
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Elective Inpatient Admissions*,Age: 0-17 years,473,0.0,6.9
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Elective Inpatient Admissions*,Age: 18-44 years,916,0.0,3.8
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Elective Inpatient Admissions*,Age: 45-64 years,"1,687",0.9,3.9
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Elective Inpatient Admissions*,Age: 65-79 years,"2,472",1.0,3.9
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Elective Inpatient Admissions*,Age: 80+ years,693,2.0,3.6
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Influenza-Related Inpatient Stays,Age: 0-17 years,0,0.0,0.0
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Influenza-Related Inpatient Stays,Age: 18-44 years,0,0.0,0.0
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Influenza-Related Inpatient Stays,Age: 45-64 years,0,0.0,0.0
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Influenza-Related Inpatient Stays,Age: 65-79 years,0,0.0,0.0
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Influenza-Related Inpatient Stays,Age: 80+ years,0,0.0,0.0
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Injury-Related Inpatient Stays,Age: 0-17 years,209,0.0,3.4
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Injury-Related Inpatient Stays,Age: 18-44 years,806,3.8,4.7
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Injury-Related Inpatient Stays,Age: 45-64 years,695,1.7,4.9
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Injury-Related Inpatient Stays,Age: 65-79 years,888,3.4,4.6
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Injury-Related Inpatient Stays,Age: 80+ years,754,1.7,4.7
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Inpatient Stays Related to Mental Health and Substance Use,Age: 0-17 years,87,0.0,12.0
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Inpatient Stays Related to Mental Health and Substance Use,Age: 18-44 years,"1,080",0.0,8.8
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Inpatient Stays Related to Mental Health and Substance Use,Age: 45-64 years,584,0.0,9.1
