,state,date,tot_cases,new_cases,tot_deaths,new_deaths,1st_dose,2nd_dose
0,Alabama,Apr-2021,2089597,11732,43050,329,279630,279630
1,Alabama,Dec-2020,1534044,117502,21245,1246,108225,108225
2,Alabama,Feb-2021,1914418,41078,36177,2572,138645,138645
3,Alabama,Jan-2021,1673923,92267,24189,2395,118950,118950
4,Alabama,Jun-2021,2740097,8151,56350,218,216270,216270
5,Alabama,Mar-2021,2536031,25188,51633,806,328770,328770
6,Alabama,May-2021,2144925,15743,44093,256,362250,362250
7,Alaska,Apr-2021,254769,4509,1299,33,0,0
8,Alaska,Dec-2020,203989,16510,852,85,35100,35100
9,Alaska,Feb-2021,218686,3627,1136,28,27300,27300
10,Alaska,Jan-2021,201166,6557,960,58,27300,27300
11,Alaska,Jun-2021,339941,1064,1847,8,50490,50490
12,Alaska,Mar-2021,293766,4830,1530,22,145080,133380
13,Alaska,May-2021,267122,2046,1427,22,84690,84690
14,American Samoa,Apr-2021,0,0,0,0,0,0
15,American Samoa,Dec-2020,0,0,0,0,5850,0
16,American Samoa,Feb-2021,0,0,0,0,7800,0
17,American Samoa,Jan-2021,0,0,0,0,7800,0
18,American Samoa,Jun-2021,0,0,0,0,0,0
19,American Samoa,Mar-2021,0,0,0,0,21060,0
20,American Samoa,May-2021,0,0,0,0,0,0
21,Arizona,Apr-2021,3414072,18965,68607,327,395460,395460
22,Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050
23,Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730
24,Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650
25,Arizona,Jun-2021,4441052,16560,88935,366,307530,307530
26,Arizona,Mar-2021,4161778,29839,82877,1261,464490,464490
27,Arizona,May-2021,3489493,17540,69844,289,514350,514350
28,Arkansas,Apr-2021,1334139,4922,24088,77,169650,169650
29,Arkansas,Dec-2020,995173,76868,20477,1329,67275,67275
30,Arkansas,Feb-2021,1264733,24912,22836,269,84825,84825
31,Arkansas,Jan-2021,1104209,64908,20971,855,74100,74100
32,Arkansas,Jun-2021,1727906,9585,31027,155,133380,133380
33,Arkansas,Mar-2021,1639437,8345,29544,195,200070,200070
34,Arkansas,May-2021,1355606,5436,24396,76,222300,222300
35,California,Apr-2021,15073399,71989,237481,2223,2211300,2211300
36,California,Dec-2020,8796041,1133213,108864,5823,858000,858000
37,California,Feb-2021,14076722,299988,181716,12049,1107015,1107015
38,California,Jan-2021,11917556,998453,128871,12579,948675,948675
39,California,Jun-2021,19302036,38667,311007,1191,1726920,1726920
40,California,Mar-2021,18396905,120874,276649,8457,2603250,2603250
41,California,May-2021,15288118,43969,244357,1448,2878200,2878200
42,Colorado,Apr-2021,1974036,43757,24977,161,314730,314730
43,Colorado,Dec-2020,1486970,129820,20983,1957,122850,122850
44,Colorado,Feb-2021,1676890,33648,23516,334,159315,159315
45,Colorado,Jan-2021,1508380,57845,21677,701,136500,136500
46,Colorado,Jun-2021,2774793,15407,33578,232,248130,248130
47,Colorado,Mar-2021,2263046,36528,30448,179,373230,373230
48,Colorado,May-2021,2137107,33570,25875,250,410310,410310
49,Connecticut,Apr-2021,1317021,27337,32025,190,211770,211770
50,Connecticut,Dec-2020,774123,74511,27581,1038,81900,81900
51,Connecticut,Feb-2021,1072040,30845,29552,617,106470,106470
52,Connecticut,Jan-2021,901503,63676,26468,1012,91650,91650
53,Connecticut,Jun-2021,1742694,2373,41312,49,163080,163080
54,Connecticut,Mar-2021,1479253,32440,38976,297,248040,248040
55,Connecticut,May-2021,1378640,9019,32716,147,274320,274320
56,Delaware,Apr-2021,397649,8716,7024,74,58500,58500
57,Delaware,Dec-2020,234863,23805,4881,288,22425,22425
58,Delaware,Feb-2021,330146,9681,6239,188,31005,31005
59,Delaware,Jan-2021,277066,19454,5216,307,25350,25350
60,Delaware,Jun-2021,536418,1186,9211,28,45630,45630
61,Delaware,Mar-2021,452710,8188,8392,95,67860,67860
62,Delaware,May-2021,421410,3896,7236,40,76050,76050
63,District of Columbia,Apr-2021,186011,3020,4365,40,44460,44460
64,District of Columbia,Dec-2020,127282,8242,3645,103,17550,17550
65,District of Columbia,Feb-2021,154670,4078,3877,106,22815,22815
66,District of Columbia,Jan-2021,133350,7107,3395,115,19500,19500
67,District of Columbia,Jun-2021,246000,533,5693,10,34560,34560
68,District of Columbia,Mar-2021,213743,4570,5221,63,52650,52650
69,District of Columbia,May-2021,193833,1289,4479,27,58320,58320
70,Florida,Apr-2021,8645335,164931,137612,1612,1209780,1209780
71,Florida,Dec-2020,5797379,344447,100871,3297,469950,469950
72,Florida,Feb-2021,7273201,209490,114895,4517,606255,606255
73,Florida,Jan-2021,6204560,370048,96126,4289,519675,519675
74,Florida,Jun-2021,11725051,49323,186502,1130,943920,943920
75,Florida,Mar-2021,9949926,171954,162006,3068,1422720,1422720
76,Florida,May-2021,9148215,93595,144291,1612,1573560,1573560
77,Georgia,Apr-2021,4331599,37683,78768,1020,575640,575640
78,Georgia,Dec-2020,2823566,196833,51069,1547,222300,222300
79,Georgia,Feb-2021,3840570,108450,63341,3414,288600,288600
80,Georgia,Jan-2021,3218463,230862,49394,2803,247650,247650
81,Georgia,Jun-2021,5647690,13257,105848,703,448470,448470
82,Georgia,Mar-2021,5190259,65496,91694,1991,678600,678600
83,Georgia,May-2021,4456588,24079,81840,634,748530,748530
84,Guam,Apr-2021,31552,152,544,2,0,0
85,Guam,Dec-2020,35692,603,586,12,11700,0
86,Guam,Feb-2021,30723,161,519,1,7800,0
87,Guam,Jan-2021,29911,260,504,8,7800,0
88,Guam,Jun-2021,41371,212,696,1,0,0
89,Guam,Mar-2021,38873,78,666,4,46800,0
90,Guam,May-2021,32361,195,556,3,0,0
91,Hawaii,Apr-2021,127196,2606,1990,11,84240,84240
92,Hawaii,Dec-2020,99671,3728,1942,34,33150,33150
93,Hawaii,Feb-2021,107741,1769,1869,16,44460,44460
94,Hawaii,Jan-2021,97249,4199,1771,49,37050,37050
95,Hawaii,Jun-2021,180851,1775,2666,14,67770,67770
96,Hawaii,Mar-2021,144088,2651,2420,18,99450,99450
97,Hawaii,May-2021,137343,2337,2066,25,111510,111510
98,Idaho,Apr-2021,739904,6729,8056,81,94770,94770
99,Idaho,Dec-2020,620240,43361,6050,509,36075,36075
